|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
|---------+---------+-------+------+-------+--------------+------+-------+-------+------------+------------+-------------------------|
| ACAE7C  | N916RR  |  2175 |  8.7 |  -5.1 |    adsb_icao |   A1 |   0.2 | 42672 |  33.661789 |-117.990922 |Sat Jan 29 22:07:30 2022 |
| A97675  | SKW3157 |  6875 |  7.8 |  -2.2 |    adsb_icao |   A2 |   0.1 |  4547 |  33.582505 |-117.962894 |Sat Jan 29 22:07:30 2022 |
| A93AE7  | N694PR  |  0000 |  6.3 | -25.5 |    adsr_icao |   A1 |   0.1 |   785 |  33.618759 |-117.950284 |Sat Jan 29 22:07:30 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  24.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:30 2022 |
| A83988  | ASA810  |  0525 |  5.1 |  -4.3 |    adsb_icao |   A3 |   0.1 |  8649 |  33.708252 |-117.848156 |Sat Jan 29 22:07:30 2022 |
| A53BC6  | N4360F  |  5150 |  7.7 |  -3.0 |    adsb_icao |   A1 |   0.1 |  2698 |  33.523058 |-117.839860 |Sat Jan 29 22:07:30 2022 |
| A14D65  | N183SD  |  0700 |  1.4 | -20.2 |    adsb_icao |   A7 |   0.1 | 20731 |  33.655499 |-117.838497 |Sat Jan 29 22:07:30 2022 |
| A4190F  | N363SP  |  3100 |  4.1 |  -4.6 |    adsr_icao |   A1 |   0.2 |  1136 |  33.681429 |-117.797127 |Sat Jan 29 22:07:30 2022 |
| AC8AC8  | N907SL  |  1900 |  7.3 | -12.2 |    adsb_icao |   A1 |   0.1 |  6949 |  33.663180 |-117.719479 |Sat Jan 29 22:07:30 2022 |
| ACAE7C  | N916RR  |  2150 |  8.6 |  -6.0 |    adsb_icao |   A1 |   0.1 | 42692 |  33.662016 |-117.989159 |Sat Jan 29 22:07:32 2022 |
