ID	Dist.(miles)	Alt(ft)	Time
A4EA9D/N416CA  	1.4	5600	2022-01-12 01:38:35.800000
A6B790/N53176  	0.8	1825	2022-01-12 01:48:04.800000
A6B790/N53176  	2.2	550	2022-01-12 01:51:44.800000
AC1111/N877HL  	1.5	9150	2022-01-12 01:52:17.800000
AB7270/AAL947  	0.6	25975	2022-01-12 01:52:40.800000
A41B66/ABX105  	0.6	25825	2022-01-12 01:56:36.800000
A6B790/N53176  	2.3	500	2022-01-12 02:00:33.800000
A6B790/N53176  	2.2	525	2022-01-12 02:04:21.800000
A694C4/N523HB  	1.4	675	2022-01-12 02:08:10.800000
AB4541/N825US  	1.2	1225	2022-01-12 02:36:58.800000
AA5F74/N768CB  	2.3	6550	2022-01-12 02:39:22.800000
ACF866/N935BS  	2.4	3150	2022-01-12 02:46:22.800000
A2C5DB/SKW3562 	0.6	22675	2022-01-12 02:46:33.800000
ACF866/N935BS  	1.5	11975	2022-01-12 02:49:25.800000
A65D45/VOI5922 	1.9	8550	2022-01-12 02:51:54.800000
AA422C/N760GP  	2.0	625	2022-01-12 02:59:26.800000
AB00A9/FDY805  	1.5	5750	2022-01-12 03:01:12.800000
A8B381/N66SS   	1.9	5700	2022-01-12 03:05:04.800000
A6E89F/AAL650  	0.6	23000	2022-01-12 03:07:21.800000
A27FAC/XBRQD   	1.8	23425	2022-01-12 03:18:12.800000
AB4541/N825US  	0.2	775	2022-01-12 03:28:15.800000
AB4541/N825US  	1.6	675	2022-01-12 03:34:11.800000
A65598/SKW6243 	0.6	21200	2022-01-12 03:36:25.800000
AB4541/N825US  	1.8	525	2022-01-12 03:38:28.800000
A3B557/UPS903  	0.6	24275	2022-01-12 03:39:34.800000
A3918F/UPS905  	0.8	16425	2022-01-12 03:40:44.800000
AB4541/N825US  	2.0	450	2022-01-12 03:42:32.800000
A15B2F/FDX1379 	0.6	19025	2022-01-12 03:43:38.800000
A50C3E/UAL1630 	0.6	26225	2022-01-12 03:46:33.800000
A699B0/VOC4090 	1.7	8325	2022-01-12 03:53:45.800000
A26F6F/SKW3826 	0.6	22825	2022-01-12 03:54:24.800000
A95FC7/LRC642  	1.7	8275	2022-01-12 04:04:54.800000
A2F721/SKW4143 	2.3	21325	2022-01-12 04:07:25.800000
A5678E/N4474M  	1.3	9300	2022-01-12 04:08:23.800000
A3C549/FFT2128 	2.2	25000	2022-01-12 04:11:20.800000
A14D65/N183SD  	0.8	1050	2022-01-12 04:13:45.800000
AB07F5/N81KS   	0.5	9300	2022-01-12 04:19:48.800000
A2BD19/CKS403  	0.6	23975	2022-01-12 04:20:57.800000
A56AC8/N44802  	1.5	1250	2022-01-12 04:32:08.800000
A14D65/N183SD  	1.0	900	2022-01-12 04:33:28.800000
AE1193/GRZLY50 	1.6	18425	2022-01-12 04:33:55.800000
AB8CDA/ASA198  	0.7	24850	2022-01-12 04:36:40.800000
ABF9D5/SWA2214 	0.6	28150	2022-01-12 04:55:47.800000
AB00A9/FDY808  	2.3	7775	2022-01-12 05:11:23.800000
A19404/SWA922  	1.3	28650	2022-01-12 05:24:40.800000
A00000	2.4	625	2022-01-12 05:32:11.800000
A3FCE7/UPS902  	2.4	8775	2022-01-12 05:32:55.800000
AC0B74/SWA318  	0.6	29000	2022-01-12 05:33:28.800000
A5678E/N4474M  	1.5	8200	2022-01-12 05:43:33.800000
A9A901/DAL552  	0.6	22600	2022-01-12 05:51:13.800000
AB07F5/N81KS   	1.9	10250	2022-01-12 06:22:00.800000
A9B275/AAL362  	0.6	22725	2022-01-12 06:31:34.800000
A53D2C/AAL2091 	0.6	19450	2022-01-12 06:40:19.800000
A2BB83/UAL1094 	0.6	21350	2022-01-12 07:24:19.800000
ACC76B/AAL1071 	0.7	22175	2022-01-12 07:43:08.800000
A0E607/AAL533  	0.6	13925	2022-01-12 08:07:56.800000
AA2CA9/AAL340  	1.5	19125	2022-01-12 08:57:21.800000
A1863B/DAL554  	0.6	23325	2022-01-12 09:23:02.800000
A47CD1/ATN3513 	2.4	7500	2022-01-12 10:20:39.800000
A0C3FC/GTI3719 	2.4	6700	2022-01-12 11:01:32.800000
A14D65/N183SD  	1.3	1150	2022-01-12 11:39:05.800000
A95FEF/CKS831  	0.6	21350	2022-01-12 12:07:58.800000
A8DB0B/SWQ1914 	0.6	21825	2022-01-12 12:48:44.800000
AA7E74/UAL2616 	0.6	21275	2022-01-12 13:56:01.800000
A368C2/FDX456  	0.7	21900	2022-01-12 13:57:37.800000
A9876E/CKS362  	0.6	21550	2022-01-12 14:14:17.800000
A4D5F0/UPS2901 	0.6	22325	2022-01-12 14:19:25.800000
A0A30E/DAL773  	0.6	23100	2022-01-12 14:25:03.800000
A45BA2/DAL573  	0.6	16500	2022-01-12 14:26:15.800000
AB0A95/AAL2811 	0.6	24600	2022-01-12 14:27:46.800000
AD2573/SWA3897 	0.6	30625	2022-01-12 14:44:17.800000
A41FAA/N365JC  	2.3	1400	2022-01-12 14:45:51.800000
A0B5C5/FDX3118 	0.6	23825	2022-01-12 14:48:26.800000
A99293/CKS364  	0.6	22775	2022-01-12 14:50:22.800000
A84325/N631TJ  	1.7	7650	2022-01-12 14:50:39.800000
ABEC6C/SWA4679 	0.6	21900	2022-01-12 14:58:27.800000
A5449A/AAL814  	0.6	20850	2022-01-12 15:07:20.800000
A959DF/SKW3281 	1.2	15650	2022-01-12 15:11:48.800000
A51D1B/AAL769  	0.6	23050	2022-01-12 15:20:27.800000
AAA875/SWA4722 	0.3	19675	2022-01-12 15:23:37.800000
A6CC45/AAL2027 	0.6	21050	2022-01-12 15:31:11.800000
A0669D/DAL369  	0.8	17425	2022-01-12 15:42:04.800000
A76DF8/AAL1952 	0.9	17650	2022-01-12 15:43:26.800000
A17142/WSN90   	0.8	21925	2022-01-12 15:44:57.800000
A095B4/FDX3619 	0.7	21800	2022-01-12 15:47:18.800000
AB62AD/SWA5127 	1.9	20675	2022-01-12 15:55:29.800000
ACF5BB/NKS591  	0.6	21125	2022-01-12 16:01:03.800000
A1FCF9/N227WC  	1.4	1400	2022-01-12 16:03:55.800000
A80A97/SKW5411 	0.6	22950	2022-01-12 16:06:05.800000
