ID	Dist.(miles)	Alt(ft)	Lat	Lon	Cat	Type	Time
A0B26D/N144K   	4.460	1925	33.63501600	-117.91980700	A1	adsb_icao	2022-01-21 04:13:14.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:14.200000
AA84F1/N777VP  	4.266	250	33.69616700	-117.85297600	A1	adsb_icao	2022-01-21 04:13:14.200000
A0B26D/N144K   	4.574	2000	33.63340800	-117.92175300	A1	adsb_icao	2022-01-21 04:13:19.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:19.200000
AA84F1/N777VP  	4.191	200	33.69488500	-117.85432200	A1	adsb_icao	2022-01-21 04:13:19.200000
A0B26D/N144K   	4.670	2050	33.63203400	-117.92337800	A1	adsb_icao	2022-01-21 04:13:23.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:23.200000
AA84F1/N777VP  	4.126	175	33.69378700	-117.85527400	A1	adsb_icao	2022-01-21 04:13:23.200000
A0B26D/N144K   	4.769	2100	33.63068700	-117.92501400	A1	adsb_icao	2022-01-21 04:13:27.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:27.200000
AA84F1/N777VP  	4.053	125	33.69255500	-117.85623600	A1	adsb_icao	2022-01-21 04:13:27.200000
ABFE12/SKW3185 	9.842	17375	33.64488500	-118.01302000	A3	adsb_icao	2022-01-21 04:13:31.200000
A0B26D/N144K   	4.874	2150	33.62933700	-117.92673100	A1	adsb_icao	2022-01-21 04:13:31.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:31.200000
AA84F1/N777VP  	3.992	100	33.69153000	-117.85692200	A1	adsb_icao	2022-01-21 04:13:31.200000
ABFE12/SKW3185 	9.002	17500	33.64485200	-117.99837700	A3	adsb_icao	2022-01-21 04:13:37.200000
A0B26D/N144K   	5.048	2200	33.62724200	-117.92953500	A1	adsb_icao	2022-01-21 04:13:37.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:37.200000
AA84F1/N777VP  	3.890	50	33.68980400	-117.85807700	A1	adsb_icao	2022-01-21 04:13:37.200000
ABFE12/SKW3185 	8.362	17525	33.64483800	-117.98721300	A3	adsb_icao	2022-01-21 04:13:42.200000
A0B26D/N144K   	5.190	2275	33.62562600	-117.93178600	A1	adsb_icao	2022-01-21 04:13:42.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:42.200000
AA84F1/N777VP  	3.805	25	33.68833900	-117.85903000	A1	adsb_icao	2022-01-21 04:13:42.200000
ABFE12/SKW3185 	7.714	17550	33.64485200	-117.97590000	A3	adsb_icao	2022-01-21 04:13:47.200000
A0B26D/N144K   	5.345	2375	33.62389000	-117.93422700	A1	adsb_icao	2022-01-21 04:13:47.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:47.200000
AA84F1/N777VP  	3.724	-25	33.68692200	-117.85989800	A1	adsb_icao	2022-01-21 04:13:47.200000
ABFE12/SKW3185 	7.061	17575	33.64483800	-117.96449700	A3	adsb_icao	2022-01-21 04:13:52.200000
A0B26D/N144K   	5.484	2425	33.62233000	-117.93638300	A1	adsb_icao	2022-01-21 04:13:52.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:52.200000
AA84F1/N777VP  	3.652	-50	33.68561800	-117.86075600	A1	adsb_icao	2022-01-21 04:13:52.200000
ABFE12/SKW3185 	6.377	17600	33.64485200	-117.95252600	A3	adsb_icao	2022-01-21 04:13:57.200000
A0B26D/N144K   	5.637	2500	33.62068200	-117.93873700	A1	adsb_icao	2022-01-21 04:13:57.200000
AAA58B/UAL1980 	3.000	0	33.67071500	-117.87200600	A3	adsb_icao	2022-01-21 04:13:57.200000
AA84F1/N777VP  	3.578	-75	33.68426800	-117.86161400	A1	adsb_icao	2022-01-21 04:13:57.200000
